Location,Timetag,Hourly Surface solar radiation downwards (J/m2),Temperature factor
home,2020-05-25 21:00:00,0.0,0.93324137
home,2020-05-25 22:00:00,0.0,0.9180926
home,2020-05-25 23:00:00,0.0,0.90289015
home,2020-05-26 00:00:00,0.0,0.88807267
home,2020-05-26 01:00:00,0.0,0.8708356
home,2020-05-26 02:00:00,0.0,0.85866284
home,2020-05-26 03:00:00,18320.0,0.85563356
home,2020-05-26 04:00:00,219227.0,0.850485
home,2020-05-26 05:00:00,529527.0,0.86466503
home,2020-05-26 06:00:00,987712.0,0.89717686
home,2020-05-26 07:00:00,1590262.0,0.9210712
home,2020-05-26 08:00:00,2193998.0,0.9445006
home,2020-05-26 09:00:00,2625242.0,0.964877
home,2020-05-26 10:00:00,2956690.0,0.97947204
home,2020-05-26 11:00:00,3086534.0,0.9890107
home,2020-05-26 12:00:00,2994200.0,0.9942829
home,2020-05-26 13:00:00,2702152.0,0.9967301
home,2020-05-26 14:00:00,2350936.0,0.99773514
home,2020-05-26 15:00:00,1895176.0,0.99797827
home,2020-05-26 16:00:00,1308840.0,0.99798715
home,2020-05-26 17:00:00,756672.0,0.9979538
home,2020-05-26 18:00:00,297616.0,0.9973776
home,2020-05-26 19:00:00,28064.0,0.9929532
home,2020-05-26 20:00:00,0.0,0.98183167
home,2020-05-26 21:00:00,0.0,0.96585584
home,2020-05-26 22:00:00,0.0,0.9471896
home,2020-05-26 23:00:00,0.0,0.929112
home,2020-05-27 00:00:00,0.0,0.91321814
home,2020-05-27 01:00:00,0.0,0.90787125
home,2020-05-27 02:00:00,0.0,0.91045475
home,2020-05-27 03:00:00,18859.0,0.90430963
home,2020-05-27 04:00:00,249379.0,0.8976093
home,2020-05-27 05:00:00,685728.0,0.90329206
home,2020-05-27 06:00:00,1161182.0,0.94294226
home,2020-05-27 07:00:00,1689714.0,0.9666392
home,2020-05-27 08:00:00,2001122.0,0.9819584
home,2020-05-27 09:00:00,2471148.0,0.9900839
home,2020-05-27 10:00:00,2700076.0,0.99491996
home,2020-05-27 11:00:00,1886220.0,0.9973632
home,2020-05-27 12:00:00,1935828.0,0.99758506
home,2020-05-27 13:00:00,1523444.0,0.997963
home,2020-05-27 14:00:00,1814800.0,0.9977342
home,2020-05-27 15:00:00,1626364.0,0.9974475
home,2020-05-27 16:00:00,1172164.0,0.996364
home,2020-05-27 17:00:00,780632.0,0.9936737
home,2020-05-27 18:00:00,284112.0,0.98763204
home,2020-05-27 19:00:00,29140.0,0.97508115
home,2020-05-27 20:00:00,0.0,0.95854175
home,2020-05-27 21:00:00,0.0,0.9424043
home,2020-05-27 22:00:00,0.0,0.92752874
home,2020-05-27 23:00:00,0.0,0.9124457
home,2020-05-28 00:00:00,0.0,0.89860326
home,2020-05-28 01:00:00,0.0,0.88800925
home,2020-05-28 02:00:00,0.0,0.87816423
home,2020-05-28 03:00:00,23157.0,0.868817
home,2020-05-28 04:00:00,294775.0,0.8627658
home,2020-05-28 05:00:00,772914.0,0.87373203
home,2020-05-28 06:00:00,1337184.0,0.8981414
home,2020-05-28 07:00:00,1910044.0,0.9238041
home,2020-05-28 08:00:00,2415522.0,0.9461999
home,2020-05-28 09:00:00,2816080.0,0.96365184
home,2020-05-28 10:00:00,3073928.0,0.9766277
home,2020-05-28 11:00:00,3163520.0,0.9853679
home,2020-05-28 12:00:00,3086324.0,0.9907552
home,2020-05-28 13:00:00,2845784.0,0.9934788
home,2020-05-28 14:00:00,2438120.0,0.9942279
home,2020-05-28 15:00:00,1914868.0,0.9935398
home,2020-05-28 16:00:00,1359604.0,0.9915516
home,2020-05-28 17:00:00,821888.0,0.987249
home,2020-05-28 18:00:00,294212.0,0.97944856
home,2020-05-28 19:00:00,28868.0,0.96524084
home,2020-05-28 20:00:00,0.0,0.9492831
home,2020-05-28 21:00:00,0.0,0.9285505
home,2020-05-28 22:00:00,0.0,0.90924406
home,2020-05-28 23:00:00,0.0,0.8913007
home,2020-05-29 00:00:00,0.0,0.87468964
home,2020-05-29 01:00:00,0.0,0.8602057
home,2020-05-29 02:00:00,0.0,0.84737325
home,2020-05-29 03:00:00,25002.0,0.83671546
home,2020-05-29 04:00:00,303362.0,0.82948095
home,2020-05-29 05:00:00,788702.0,0.8430717
home,2020-05-29 06:00:00,1353862.0,0.8747959
home,2020-05-29 07:00:00,1918246.0,0.9101924
home,2020-05-29 08:00:00,2417276.0,0.94511044
home,2020-05-29 09:00:00,2810074.0,0.97153497
home,2020-05-29 10:00:00,3026304.0,0.9864319
home,2020-05-29 11:00:00,3044040.0,0.9927162
home,2020-05-29 12:00:00,3025268.0,0.99598944
home,2020-05-29 13:00:00,2826312.0,0.9974446
home,2020-05-29 14:00:00,2438960.0,0.9979279
home,2020-05-29 15:00:00,1950476.0,0.9979874
home,2020-05-29 16:00:00,1392680.0,0.99798596
home,2020-05-29 17:00:00,833396.0,0.9978734
home,2020-05-29 18:00:00,337420.0,0.9969833
home,2020-05-29 19:00:00,36800.0,0.9927043
home,2020-05-29 20:00:00,0.0,0.98316264
home,2020-05-29 21:00:00,0.0,0.9728298
home,2020-05-29 22:00:00,0.0,0.9621042
home,2020-05-29 23:00:00,0.0,0.95059335
home,2020-05-30 00:00:00,0.0,0.93852437
home,2020-05-30 01:00:00,0.0,0.9259843
home,2020-05-30 02:00:00,0.0,0.9138131
home,2020-05-30 03:00:00,26164.0,0.90297735
home,2020-05-30 04:00:00,304448.0,0.89486635
home,2020-05-30 05:00:00,787380.0,0.905094
home,2020-05-30 06:00:00,1335980.0,0.9362633
home,2020-05-30 07:00:00,1888838.0,0.96582836
home,2020-05-30 08:00:00,2379620.0,0.9849113
home,2020-05-30 09:00:00,2765376.0,0.9940876
